Cost,Name,Type,Text,Power,Toughness,Color,Faction
0,??? Bloom,Artifact,Seance - {T}: Add a mana of any color of any card in exile. Turn that card face down.,,,C,GWP
0,??? Petal,Artifact,"Seance - {T}, sacrifice this permanent: Add one mana of any color of any card in exile.",,,C,GWP
0,Obis Bloom,Artifact,Obspire - You may only cast this card from exile.\n{T}: Add {A},,,C,OPR
0,Obis Petal,Artifact,Obspire - You may only cast this card from exile.\n{T}: Add {A},,,C,OPR
,,,,,,O,OPR
,,,,,,O,OPR
,,,,,,O,OPR
,,,,,,O,OPR
?OPR,Void Reaper,Legendary Creature - Spirit Undead,"Firstrike.\nObspire - You may cast this card from exile if it was exiled with its own effect.\nIf this creature would deal damage to a creature, exile both this creature and that creature instead.",1,3,M,OPR
,,,,,,P,OPR
,,,,,,P,OPR
,,,,,,P,OPR
,,,,,,P,OPR
?R,Void Dragon,Creature - Spirit Dragon,Flying.\nObspire - You may cast this card drom exile.,4,4,R,OPR
,,,,,,R,OPR
,,,,,,R,OPR
,,,,,,R,OPR
0,??? Bloom,Artifact,Suspend 3-{0}\n{T}: Add {A},,,C,ORB
0,??? Petal,Artifact,"Suspend 1-{0}\n{T}, sacrifice this permanent: Add {A}.",,,C,ORB
0,??? Bloom,Artifact,"{T}, ingest self twice: Add one mana of any color of the ingested cards.",,,C,PBG
0,??? Petal,Artifact,"{T}, ingest self, sacrifice this permanent: Add one mana of any color of the ingested card, if you don't this way add {C} instead.",,,C,PBG
0,Chrome Bloom,Artifact,"Imprint - When this enters the battlefield, you may exile a card from your hand.\n{T}: Add one mana of any of the imprinted card's colors.",,,C,RBG
0,Chrome Petal,Artifact,"{T}, exile this permanent: Add {A}",,,C,RBG
,,,,,,G,GWP
,,,,,,G,GWP
,,,,,,G,GWP
,,,,,,G,GWP
,,,,,,W,GWP
,,,,,,W,GWP
,,,,,,W,GWP
,,,,,,W,GWP
,,,,,,P,GWP
,,,,,,P,GWP
,,,,,,P,GWP
,,,,,,P,GWP
,,,,,,M,GWP
,,,,,,M,GWP
,,,,,,M,GWP
,,,,,,M,GWP
,,,,,,M,OPR
,,,,,,M,OPR
,,,,,,M,OPR
,,,,,,O,ORB
,,,,,,O,ORB
,,,,,,O,ORB
,,,,,,O,ORB
,,,,,,R,ORB
,,,,,,R,ORB
,,,,,,R,ORB
,,,,,,R,ORB
,,,,,,B,ORB
,,,,,,B,ORB
,,,,,,B,ORB
,,,,,,B,ORB
,,,,,,M,ORB
,,,,,,M,ORB
,,,,,,M,ORB
,,,,,,M,ORB
,,,,,,P,PBG
,,,,,,P,PBG
,,,,,,P,PBG
,,,,,,P,PBG
,,,,,,B,PBG
,,,,,,B,PBG
,,,,,,B,PBG
,,,,,,B,PBG
,,,,,,G,PBG
,,,,,,G,PBG
,,,,,,G,PBG
,,,,,,G,PBG
,,,,,,M,PBG
,,,,,,M,PBG
,,,,,,M,PBG
,,,,,,M,PBG
,,,,,,R,RBG
,,,,,,R,RBG
,,,,,,R,RBG
,,,,,,R,RBG
,,,,,,B,RBG
,,,,,,B,RBG
,,,,,,B,RBG
,,,,,,B,RBG
,,,,,,G,RBG
,,,,,,G,RBG
,,,,,,G,RBG
,,,,,,G,RBG
,,,,,,M,RBG
,,,,,,M,RBG
,,,,,,M,RBG
,,,,,,M,RBG
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,R,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,B,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,G,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,O,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,P,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,C,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
,,,,,,M,N
